"定点報告疾患 週報告分 年齢別集計表（個別データ）"
"東京都"
"疾病","インフルエンザ"
"集計期間開始週","2019年1週"
"集計期間終了週","2023年52週"
"性別","男性"

"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

"年","週","～5ヶ月","～1歳","1歳","2歳","3歳","4歳","5歳","6歳","7歳","8歳","9歳","10～14歳","15～19歳","20～29歳","30～39歳","40～49歳","50～59歳","60～69歳","70～79歳","80歳以上","合計","定点数"
"2023","23","0","2","9","6","17","23","35","31","35","25","22","100","24","8","11","15","5","3","1","0","372","415"
"2023","24","1","2","12","9","14","12","21","32","18","19","21","68","24","6","8","19","7","11","1","0","305","414"
"2023","25","0","0","4","3","3","8","11","16","24","18","22","54","24","6","7","11","6","4","2","0","223","414"
"2023","26","2","2","6","6","8","7","18","13","24","21","16","39","17","3","4","5","5","1","2","2","201","415"
"2023","27","1","3","5","6","12","9","19","15","35","18","16","47","16","8","14","15","9","6","0","1","255","416"
"2023","28","0","2","8","13","16","10","23","16","29","25","19","54","12","6","10","23","6","2","2","1","277","415"
"2023","29","1","1","4","4","7","11","22","17","22","16","20","61","13","10","10","14","6","3","1","1","244","417"
"2023","30","0","4","9","15","13","15","16","31","24","15","11","37","19","13","13","17","5","4","2","0","263","416"
"2023","31","2","3","4","7","12","19","35","33","22","13","15","35","12","8","7","15","3","2","1","0","248","413"
"2023","32","1","1","5","6","7","12","18","23","21","13","11","33","12","18","6","16","8","2","0","0","213","397"
"2023","33","0","1","8","8","6","7","12","12","10","7","13","25","16","19","20","13","9","2","2","1","191","401"
"2023","34","1","2","13","8","10","9","10","17","16","21","14","53","37","43","14","20","11","4","2","1","306","410"
"2023","35","0","2","17","15","20","33","31","41","48","41","36","92","83","58","27","42","63","6","3","3","661","415"
"2023","36","2","6","30","30","45","67","82","83","127","102","83","299","140","81","46","67","42","16","9","3","1360","417"
